,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
90882,2005,Vaggeryd,hydro_prod,HWI,1145.0,1.14052001391521,Linear,-17.231075302005816,8.649413528225157,10,3
90883,2006,Vaggeryd,hydro_prod,HWI,1185.0,2.164695504166882,Linear,-15.828937522904868,5.233046156616487,10,3
90884,2007,Vaggeryd,hydro_prod,HWI,1666.0,-1.0758733336554906,Linear,16.314375851694177,18.329939378751934,10,3
90885,2008,Vaggeryd,hydro_prod,HWI,1749.0,0.259049102638628,Linear,20.057418682057197,4.0500879152872455,10,3
90886,2009,Vaggeryd,hydro_prod,HWI,1564.0,-0.3760868114759423,Linear,5.58430446040928,5.225481400406939,10,3
90887,2011,Vaggeryd,hydro_prod,HWI,723.0,3.314750191064206,Linear,-52.752399608621445,-37.340389587835695,10,3
90888,2012,Vaggeryd,hydro_prod,HWI,2357.0,1.674421599065741,Linear,51.60341875440555,9.377458445132065,10,3
90889,2013,Vaggeryd,hydro_prod,HWI,1408.0,2.714226626538218,Linear,-10.840486984394817,-8.127338185746819,10,3
90890,2014,Vaggeryd,hydro_prod,HWI,1654.0,2.5150343760611142,Linear,3.1384293371285787,-2.008916445375178,10,3
90891,2015,Vaggeryd,hydro_prod,HWI,1673.6666666666667,0.2537670719815525,Linear,2.795746138716963,4.03373405503256,10,3
90892,2016,Vaggeryd,hydro_prod,HWI,1693.3333333333333,-0.1251523014826791,Linear,2.4632142329004827,3.8723703369401488,10,3
90893,2017,Vaggeryd,hydro_prod,HWI,1713.0,2.4191269984998334,Linear,2.140389136054288,0.3937247545203566,10,3
90894,2018,Vaggeryd,hydro_prod,HWI,1732.6666666666667,3.025758569169392,Linear,1.8268519407571795,-21.098043663968884,10,3
90895,2019,Vaggeryd,hydro_prod,HWI,1752.3333333333333,1.134480418274508,Linear,1.5222075022636794,8.622017805253144,10,3
90896,2020,Vaggeryd,hydro_prod,HWI,1772.0,1.8882484831295097,Linear,1.2260827771381089,8.295680331957122,10,3
90897,2021,Vaggeryd,hydro_prod,HWI,1728.0,2.2098166218661297,Linear,-2.648699246180745,4.527052902653333,10,3
90898,2022,Vaggeryd,hydro_prod,HWI,1624.0,2.829483378482584,Linear,-9.75233995665626,-12.41681511511272,10,3
90899,2005,Valdemarsvik,hydro_prod,HWI,297.0,0.5547752258799074,Linear,-1.751313485114044,-6.099757908833631,10,1
90900,2006,Valdemarsvik,hydro_prod,HWI,260.0,2.171746206235553,Linear,-10.174012447604944,4.262731538477375,10,1
90901,2007,Valdemarsvik,hydro_prod,HWI,245.0,0.0584153844891054,Linear,-11.42538146631863,-9.280720140666546,10,1
90902,2008,Valdemarsvik,hydro_prod,HWI,228.0,1.3068499601366337,Linear,-13.55691226896442,-1.2800260818527658,10,1
90903,2009,Valdemarsvik,hydro_prod,HWI,148.0,-1.0932564221252294,Linear,-41.01512132223625,-16.661302159634985,10,1
90904,2010,Valdemarsvik,hydro_prod,HWI,361.0,-0.1682488141483081,Linear,51.63850881798863,-10.733316009732047,10,1
90905,2011,Valdemarsvik,hydro_prod,HWI,302.0,1.178915550103731,Linear,34.09076069213432,-2.0999041068883955,10,1
90906,2012,Valdemarsvik,hydro_prod,HWI,178.0,1.2620523423306265,Linear,-16.18599175985874,-1.5671152426473025,10,1
90907,2013,Valdemarsvik,hydro_prod,HWI,303.0,2.6372625801078464,Linear,51.85731132075716,7.246030911445176,10,1
90908,2014,Valdemarsvik,hydro_prod,HWI,160.0,3.896386477772976,Linear,-14.293591712945275,15.315228355880594,10,1
90909,2015,Valdemarsvik,hydro_prod,HWI,326.0,1.1426527809901936,Linear,87.53066576431635,-2.332296998804525,10,1
90910,2016,Valdemarsvik,hydro_prod,HWI,1.0,0.2774337362256201,Linear,-99.37885361954784,-7.877123300519234,10,1
90911,2017,Valdemarsvik,hydro_prod,HWI,166.0,2.559249530103357,Linear,12.050823903118069,6.746077964085378,10,1
90912,2018,Valdemarsvik,hydro_prod,HWI,224.0,1.8324861828066303,Linear,65.5562197706615,2.088556209799888,10,1
90913,2019,Valdemarsvik,hydro_prod,HWI,28.0,1.8289839284279616,Linear,-77.13462231295772,2.066111729050599,10,1
90914,2020,Valdemarsvik,hydro_prod,HWI,65.0,1.5718687730489902,Linear,-40.699000469574,0.41836843821410596,10,1
90915,2021,Valdemarsvik,hydro_prod,HWI,100.0,1.5442563326634584,Linear,3.343465045596362,0.2414118783340733,10,1
90916,2005,Vansbro,hydro_prod,HWI,98470.0,1.408282721710734,Linear,4.470546892661158,-4.989751436001592,10,4
90917,2006,Vansbro,hydro_prod,HWI,91170.0,0.9317629162697252,Linear,-5.390070680203647,-1.0558113324529117,10,4
90918,2007,Vansbro,hydro_prod,HWI,93765.0,0.655177736880831,Linear,-4.779994921469219,2.1510496274818145,10,4
90919,2008,Vansbro,hydro_prod,HWI,88737.0,2.9335244570592,Linear,-11.774545419484904,3.7459395319916045,10,4
90920,2009,Vansbro,hydro_prod,HWI,85967.0,-1.7017840588295687,Linear,-16.283042130487495,-17.53033542032172,10,4
90921,2010,Vansbro,hydro_prod,HWI,82875.0,1.0576112416946444,Linear,-20.917435657840265,-2.330008114934257,10,4
90922,2011,Vansbro,hydro_prod,HWI,113045.0,0.742877714830099,Linear,5.744998432311967,1.087393919899835,10,4
90923,2012,Vansbro,hydro_prod,HWI,130677.0,0.6072375545910395,Linear,19.87476928591068,2.744767574354075,10,4
90924,2013,Vansbro,hydro_prod,HWI,133536.5,3.1141802353480093,Linear,20.1741827626173,6.70882547567974,10,4
90925,2014,Vansbro,hydro_prod,HWI,136396.0,3.886555353175492,Linear,20.46244832796573,20.185838030388368,10,4
90926,2015,Vansbro,hydro_prod,HWI,135974.0,0.6269186406772271,Linear,17.894983355229037,2.5001734153758886,10,4
90927,2016,Vansbro,hydro_prod,HWI,109187.0,-1.502884529875501,Linear,-7.029563477959846,-6.785387929338414,10,4
90928,2017,Vansbro,hydro_prod,HWI,114671.0,1.6620195362732462,Linear,-4.081596171481823,-5.913785038283466,10,4
90929,2018,Vansbro,hydro_prod,HWI,116736.5,5.713622417141235,Linear,-4.045698380671478,-3.79678829593386,10,4
90930,2019,Vansbro,hydro_prod,HWI,118802.0,0.3225444762272124,Linear,-4.01102333921939,6.320112878167279,10,4
90931,2020,Vansbro,hydro_prod,HWI,134057.0,0.7263992284693112,Linear,6.500812815260361,1.2846128592218466,10,4
90932,2021,Vansbro,hydro_prod,HWI,132622.0,2.253459366046983,Linear,3.625494935941323,-4.2970475123056655,10,4
90933,2022,Vansbro,hydro_prod,HWI,102427.0,1.797915046300087,Linear,-21.26443662803597,-6.0192764232266445,10,4
90934,2005,Vara,hydro_prod,HWI,1663.0,1.6364547569812118,Linear,-38.82136034284001,-0.2924160530370443,10,1
90935,2006,Vara,hydro_prod,HWI,2265.0,2.4026800981253538,Linear,-13.9250267793253,-2.531909822413194,10,1
90936,2007,Vara,hydro_prod,HWI,2616.5,-0.5666540302823824,Linear,2.8262058631554177,6.146745036267767,10,1
90937,2008,Vara,hydro_prod,HWI,2968.0,1.3042808233817575,Linear,20.76121768179645,0.6784490628756417,10,1
90938,2009,Vara,hydro_prod,HWI,2735.5,-0.5908125351477052,Linear,15.378097991238024,6.217354579202678,10,1
90939,2010,Vara,hydro_prod,HWI,2503.0,0.3223743873294485,Linear,9.585635500569598,3.548327188240092,10,1
90940,2011,Vara,hydro_prod,HWI,3120.0,2.362792813916842,Linear,41.9978494852616,-2.4153288120162886,10,1
90941,2012,Vara,hydro_prod,HWI,2774.0,1.261695881754239,Linear,31.44587861691191,0.8029146819605812,10,1
